company,address,telephone,country
HV Wooding Limited,"Range road industrial estate, Hythe,  CT216HG,  United Kingdom",+4401303236507,United Kingdom
KALIKUND STEEL & ENGG.CO,"Shop No. 5, Lehri Bldg., 274/90, S.V.P. Road, 5th Khetwadi Road, Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266109605,India
emex,"simin han, tuzla,  75200,  Bosnia and Herzegovina",0670817931,Bosnia and Herzegovina
"Dongguan PTJ (MINGHE) Hardware Products Co., Ltd.","Sifangyuan Industrial Park, Xinshapu, Huaide Community, Humen town, Dongguan City, Guangdong Province., Birmingham,  35201,  China",06622055458,China
"Dongguan PTJ (MINGHE) Hardware Products Co., Ltd.","Sifangyuan Industrial Park, Xinshapu, Huaide Community, Humen town, Dongguan City, Guangdong Province., Birmingham,  35201,  China",13537489486,China
"Gerhold Chemetals Co., Ltd.","106, Houdaixi Road, Xiamen,  361000,  China",5925365868,China
Lanco pipes & Fitting,"Shop No.1, Ground Floor, Plot No- 89 / 91, Shree Ram Mandir Marg, 4th Kumbharwada, Girgaon., Mumbai,  400004,  India",9769824662,India
American Manufacturing & Engineering Co.,"4600 W 160 St, Cleveland, OH 44135,  United States",440-899-9400,United States
"Shenzhen City Musen Industrial Co., Ltd.","4F, Commercial Building A, JunYa Square, Suiyan Road, Yanbu, Nanhai District, Foshan, Foshan,  528247,  China",86-757-81108109,China
MUKESH STEEL HOUSE,"13, 2nd CARPENTAR STREET,  MUMBAI - 400 004, Mumbai,  400004,  India",02266595226,India
Grupo ks.in,"Barrio de Sagarribai, 2 01470 Amurrio (Álava), Mumbai,  400004,  India",022945897100,India
Leoscor Alloys & Steel Inc.,"Khwaja's House, Mira Bhayander Road, Kashimira, Mira Road, Thane - 401104, India, Mumbai,  400004,  India",02223867540,India
Pakshal Steel Engg. Co.,"Shop No. 23, Ground Floor, 234/240, Bhabha Chawl, 13th Khetwadi Lane, Mumbai - 400004, India, Mumbai,  400004,  India",9869668476,India
Piping Material,"Mafatlal House, H.T.Parekh Marg, Backbay Reclamation 5th & 6th Floor, Mumbai, Maharashtra 400020., mumbai,  400004,  India",02271004589,India
Surya steel & alloys,"Shop no. 5/A, Prabhu Shree Ram Mandir Marg, opp.91 Bldg.4th Kumbharwada, Mumbai-400004 Maharashtra, mumbai,  400004,  India",02267437556,India
Nandishwar steel,"9, Dhobi Bldg., 51 M.G. Mahimtura Marg, 3rd Kumbharwada Lane, Opp. Durgadevi Garden, Mumbai -400 004, mumbai,  400004,  India",02266363494,India
Global steel & Alloys,"99/99A, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada. Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266394294,India
Rajendra Industrial AISI,"97/99, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada Mumbai - 400 004, India, mumbai,  400004,  India",02266109605,India
Rajendra Industrial Outlets,"97/99, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada Mumbai - 400 004, India, Mumbai,  400004,  India",02266109605,India
Rajendra Industrial Fittings,"97/99, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada, Mumbai - 400 004, India, Mumbai,  400004,  India",02266362120,India
Rajendra Industrial Corparations,"97/99, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada Mumbai - 400 004, Maharashtra (India), Mumbai,  400004,  India",02266362120,India
Guru Gautam,"99/99A, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada. Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266394294,India
GURU GAUTAM STEELS,"99/99A, Shiv Vilas Building, 2nd Pathan Street, 5th Kumbharwada. 	Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266394294,India
Kalikund Steel SSbars,"Shop No. 5, Lehri Bldg., 274/90, S.V.P. Road, 5th Khetwadi Road, Mumbai - 400 004, Maharashtra (India), mumbai,  400004,  India",02266109605,India
Kalikund Steel SS,"Shop No. 5, Lehri Bldg., 274/90, S.V.P. Road, 5th Khetwadi Road, Mumbai - 400 004, Maharashtra (India), Mumbai,  400004,  India",02266109605,India
